date,city,location,restaurant,dish_name,price,units_sold,weather_condition
2024-05-07,Delhi,Saket,Punjab Grill,Paneer Butter Masala,220,110,Rainy
2024-01-31,Delhi,Saket,Flavors of Delhi,Momos,100,86,Rainy
2024-04-21,Delhi,Hauz Khas,Zaika-e-Dilli,Paneer Butter Masala,220,118,Rainy
2024-02-25,Delhi,Saket,Biryani Blues,Rajma Chawal,140,58,Cloudy
2024-01-18,Delhi,Saket,Delhi Darbar,Dal Makhani,180,34,Rainy
2024-05-05,Delhi,Karol Bagh,Delhi Darbar,Rajma Chawal,140,92,Cloudy
2024-04-21,Delhi,Janakpuri,Local Zaika,Rajma Chawal,140,69,Humid
2024-04-17,Delhi,Chandni Chowk,The Spice Route,Aloo Tikki,80,19,Cloudy
2024-04-18,Delhi,Connaught Place,Biryani Blues,Chole Bhature,120,135,Cool
2024-06-21,Delhi,Saket,Delhi Darbar,Paneer Butter Masala,220,149,Sunny
2024-05-10,Delhi,Janakpuri,Biryani Blues,Chole Bhature,120,88,Sunny
2024-01-31,Delhi,Hauz Khas,Local Zaika,Chole Bhature,120,88,Rainy
2024-01-07,Delhi,Rohini,Punjab Grill,North Indian Thali,200,109,Rainy
2024-01-18,Delhi,Hauz Khas,Punjab Grill,Aloo Tikki,80,13,Rainy
2024-01-20,Delhi,Karol Bagh,Delhi Darbar,Chole Bhature,120,90,Cool
2024-04-13,Delhi,Vasant Kunj,Punjab Grill,Dal Makhani,180,16,Cloudy
2024-04-06,Delhi,Lajpat Nagar,Local Zaika,Amritsari Kulcha,160,93,Sunny
2024-03-25,Delhi,Lajpat Nagar,Zaika-e-Dilli,Butter Naan,40,14,Cool
2024-02-12,Delhi,Lajpat Nagar,Haldiram's,Chicken Biryani,250,70,Sunny
2024-01-14,Delhi,Karol Bagh,Zaika-e-Dilli,Paneer Butter Masala,220,140,Cloudy
2024-01-09,Delhi,Janakpuri,Delhi Darbar,Chole Bhature,120,78,Cloudy
2024-06-24,Delhi,Hauz Khas,The Spice Route,Butter Naan,40,132,Sunny
2024-02-20,Delhi,Connaught Place,Delhi Darbar,Chicken Biryani,250,21,Sunny
2024-01-22,Delhi,Lajpat Nagar,Delhi Darbar,Amritsari Kulcha,160,89,Rainy
2024-05-29,Delhi,Karol Bagh,Punjab Grill,Aloo Tikki,80,116,Cloudy
2024-01-24,Delhi,Janakpuri,Zaika-e-Dilli,Chole Bhature,120,23,Humid
2024-02-07,Delhi,Connaught Place,Biryani Blues,Dal Makhani,180,73,Humid
2024-04-24,Delhi,Rohini,Zaika-e-Dilli,North Indian Thali,200,80,Cloudy
2024-02-02,Delhi,Connaught Place,Flavors of Delhi,Rajma Chawal,140,60,Humid
2024-02-06,Delhi,Rohini,Zaika-e-Dilli,Dal Makhani,180,113,Rainy
2024-02-22,Delhi,Lajpat Nagar,Local Zaika,Rajma Chawal,140,116,Humid
2024-06-13,Delhi,Vasant Kunj,The Spice Route,Chicken Biryani,250,48,Sunny
2024-05-24,Delhi,Saket,Local Zaika,North Indian Thali,200,133,Sunny
2024-02-08,Delhi,Lajpat Nagar,The Spice Route,Chole Bhature,120,148,Cool
2024-01-21,Delhi,Janakpuri,Zaika-e-Dilli,Chole Bhature,120,131,Cloudy
2024-06-15,Delhi,Janakpuri,Delhi Darbar,Chole Bhature,120,138,Humid
2024-04-24,Delhi,Chandni Chowk,Zaika-e-Dilli,North Indian Thali,200,101,Sunny
2024-06-06,Delhi,Janakpuri,Biryani Blues,Chicken Biryani,250,86,Humid
2024-01-31,Delhi,Connaught Place,Zaika-e-Dilli,Momos,100,94,Sunny
2024-02-15,Delhi,Rohini,Punjab Grill,Rajma Chawal,140,139,Cool
2024-02-04,Delhi,Vasant Kunj,Delhi Darbar,Amritsari Kulcha,160,76,Rainy
2024-03-06,Delhi,Janakpuri,Haldiram's,Chole Bhature,120,58,Cloudy
2024-01-16,Delhi,Karol Bagh,Delhi Darbar,Dal Makhani,180,105,Humid
2024-02-22,Delhi,Connaught Place,Delhi Darbar,Amritsari Kulcha,160,53,Sunny
2024-01-30,Delhi,Hauz Khas,Biryani Blues,Butter Naan,40,59,Humid
2024-01-13,Delhi,Karol Bagh,Delhi Darbar,Aloo Tikki,80,102,Cool
2024-04-27,Delhi,Karol Bagh,Delhi Darbar,Amritsari Kulcha,160,103,Sunny
2024-03-28,Delhi,Karol Bagh,Haldiram's,Paneer Butter Masala,220,24,Cool
2024-02-26,Delhi,Dwarka,Flavors of Delhi,North Indian Thali,200,126,Sunny
2024-04-02,Delhi,Dwarka,Local Zaika,Chicken Biryani,250,31,Sunny
2024-03-23,Delhi,Hauz Khas,Zaika-e-Dilli,Dal Makhani,180,133,Cool
2024-03-15,Delhi,Chandni Chowk,Biryani Blues,Butter Naan,40,34,Rainy
2024-03-20,Delhi,Karol Bagh,Biryani Blues,Amritsari Kulcha,160,46,Sunny
2024-06-26,Delhi,Chandni Chowk,Zaika-e-Dilli,North Indian Thali,200,114,Rainy
2024-01-19,Delhi,Karol Bagh,Punjab Grill,Chole Bhature,120,102,Humid
2024-04-27,Delhi,Connaught Place,Haldiram's,Paneer Butter Masala,220,23,Humid
2024-04-13,Delhi,Vasant Kunj,Zaika-e-Dilli,Paneer Butter Masala,220,82,Cloudy
2024-06-29,Delhi,Karol Bagh,Punjab Grill,North Indian Thali,200,112,Humid
2024-02-12,Delhi,Karol Bagh,Local Zaika,Amritsari Kulcha,160,41,Humid
2024-04-02,Delhi,Rohini,Local Zaika,Amritsari Kulcha,160,147,Sunny
2024-06-08,Delhi,Saket,Haldiram's,Paneer Butter Masala,220,25,Rainy
2024-04-23,Delhi,Connaught Place,Flavors of Delhi,Paneer Butter Masala,220,69,Sunny
2024-01-18,Delhi,Lajpat Nagar,The Spice Route,Chicken Biryani,250,80,Sunny
2024-01-12,Delhi,Rohini,Haldiram's,Amritsari Kulcha,160,75,Cool
2024-04-07,Delhi,Lajpat Nagar,Delhi Darbar,Aloo Tikki,80,134,Cool
2024-05-08,Delhi,Rohini,The Spice Route,Momos,100,31,Humid
2024-02-17,Delhi,Chandni Chowk,The Spice Route,Rajma Chawal,140,61,Cool
2024-01-16,Delhi,Dwarka,Biryani Blues,Chicken Biryani,250,122,Sunny
2024-01-12,Delhi,Rohini,Haldiram's,Momos,100,149,Rainy
2024-01-15,Delhi,Hauz Khas,The Spice Route,Chicken Biryani,250,30,Humid
2024-04-05,Delhi,Saket,Punjab Grill,Paneer Butter Masala,220,80,Cloudy
2024-04-10,Delhi,Saket,Local Zaika,Rajma Chawal,140,147,Sunny
2024-01-26,Delhi,Vasant Kunj,Punjab Grill,Butter Naan,40,67,Cool
2024-02-17,Delhi,Dwarka,Local Zaika,Amritsari Kulcha,160,106,Cool
2024-02-23,Delhi,Connaught Place,The Spice Route,Dal Makhani,180,74,Sunny
2024-03-30,Delhi,Karol Bagh,Flavors of Delhi,Chole Bhature,120,52,Cool
2024-03-29,Delhi,Janakpuri,Local Zaika,North Indian Thali,200,139,Rainy
2024-01-13,Delhi,Chandni Chowk,Biryani Blues,Rajma Chawal,140,123,Cloudy
2024-01-28,Delhi,Janakpuri,Zaika-e-Dilli,Paneer Butter Masala,220,95,Sunny
2024-02-22,Delhi,Hauz Khas,Punjab Grill,Dal Makhani,180,91,Sunny
2024-04-21,Delhi,Saket,Flavors of Delhi,Chole Bhature,120,18,Humid
2024-05-23,Delhi,Janakpuri,The Spice Route,Paneer Butter Masala,220,105,Cloudy
2024-02-20,Delhi,Lajpat Nagar,The Spice Route,Aloo Tikki,80,73,Cool
2024-05-04,Delhi,Vasant Kunj,Local Zaika,North Indian Thali,200,46,Sunny
2024-01-04,Delhi,Vasant Kunj,Biryani Blues,Rajma Chawal,140,125,Rainy
2024-02-01,Delhi,Dwarka,Haldiram's,Dal Makhani,180,148,Rainy
2024-01-19,Delhi,Dwarka,Punjab Grill,Chole Bhature,120,88,Cool
2024-05-24,Delhi,Rohini,Haldiram's,Momos,100,88,Humid
2024-05-10,Delhi,Vasant Kunj,Biryani Blues,Paneer Butter Masala,220,73,Humid
2024-04-02,Delhi,Hauz Khas,Punjab Grill,Aloo Tikki,80,21,Humid
2024-06-08,Delhi,Janakpuri,The Spice Route,Chicken Biryani,250,54,Cool
2024-04-17,Delhi,Karol Bagh,Flavors of Delhi,Aloo Tikki,80,133,Sunny
2024-01-13,Delhi,Rohini,The Spice Route,Dal Makhani,180,113,Humid
2024-02-17,Delhi,Dwarka,Flavors of Delhi,Paneer Butter Masala,220,59,Humid
2024-03-03,Delhi,Chandni Chowk,Biryani Blues,Momos,100,85,Cloudy
2024-03-06,Delhi,Saket,Haldiram's,Aloo Tikki,80,87,Sunny
2024-01-09,Delhi,Vasant Kunj,Zaika-e-Dilli,North Indian Thali,200,25,Rainy
2024-03-25,Delhi,Karol Bagh,Local Zaika,North Indian Thali,200,76,Cool
2024-01-30,Delhi,Janakpuri,Local Zaika,Aloo Tikki,80,108,Sunny
2024-01-17,Delhi,Saket,The Spice Route,Aloo Tikki,80,64,Cool
2024-04-13,Delhi,Vasant Kunj,Biryani Blues,Paneer Butter Masala,220,116,Rainy
2024-05-03,Delhi,Chandni Chowk,Local Zaika,Rajma Chawal,140,137,Rainy
2024-01-26,Delhi,Karol Bagh,Delhi Darbar,Chole Bhature,120,121,Humid
2024-01-13,Delhi,Dwarka,Punjab Grill,Momos,100,60,Cool
2024-03-15,Delhi,Rohini,Biryani Blues,Aloo Tikki,80,84,Sunny
2024-03-04,Delhi,Rohini,Punjab Grill,Amritsari Kulcha,160,102,Rainy
2024-05-23,Delhi,Rohini,Biryani Blues,Dal Makhani,180,18,Rainy
2024-05-24,Delhi,Saket,Delhi Darbar,Chole Bhature,120,52,Cloudy
2024-04-11,Delhi,Dwarka,Local Zaika,Butter Naan,40,92,Rainy
2024-06-10,Delhi,Lajpat Nagar,Punjab Grill,Momos,100,63,Humid
2024-05-11,Delhi,Dwarka,Punjab Grill,Rajma Chawal,140,14,Cloudy
2024-05-24,Delhi,Hauz Khas,Biryani Blues,North Indian Thali,200,49,Cool
2024-04-20,Delhi,Karol Bagh,Biryani Blues,Chicken Biryani,250,132,Humid
2024-04-09,Delhi,Dwarka,Punjab Grill,North Indian Thali,200,114,Humid
2024-03-28,Delhi,Dwarka,The Spice Route,Chole Bhature,120,106,Cool
2024-06-14,Delhi,Connaught Place,Haldiram's,Aloo Tikki,80,87,Rainy
2024-06-28,Delhi,Janakpuri,Zaika-e-Dilli,Aloo Tikki,80,40,Humid
2024-05-01,Delhi,Saket,Local Zaika,Chole Bhature,120,90,Cool
2024-06-08,Delhi,Vasant Kunj,Haldiram's,Paneer Butter Masala,220,144,Sunny
2024-03-03,Delhi,Dwarka,The Spice Route,Chole Bhature,120,89,Cool
2024-02-03,Delhi,Rohini,The Spice Route,Butter Naan,40,89,Cloudy
2024-01-13,Delhi,Rohini,Punjab Grill,North Indian Thali,200,98,Sunny
2024-02-07,Delhi,Dwarka,Biryani Blues,Dal Makhani,180,123,Rainy
2024-01-27,Delhi,Lajpat Nagar,Delhi Darbar,Paneer Butter Masala,220,11,Sunny
2024-06-08,Delhi,Saket,Haldiram's,Chole Bhature,120,106,Rainy
2024-04-12,Delhi,Chandni Chowk,Punjab Grill,Amritsari Kulcha,160,133,Sunny
2024-06-03,Delhi,Vasant Kunj,Biryani Blues,Dal Makhani,180,110,Humid
2024-06-09,Delhi,Chandni Chowk,Delhi Darbar,Chicken Biryani,250,101,Sunny
2024-03-19,Delhi,Dwarka,Haldiram's,Chole Bhature,120,37,Humid
2024-04-21,Delhi,Janakpuri,Local Zaika,Dal Makhani,180,55,Cool
2024-05-02,Delhi,Chandni Chowk,Delhi Darbar,Amritsari Kulcha,160,52,Rainy
2024-05-21,Delhi,Karol Bagh,Delhi Darbar,Paneer Butter Masala,220,19,Rainy
2024-01-18,Delhi,Dwarka,Biryani Blues,North Indian Thali,200,67,Cloudy
2024-03-02,Delhi,Saket,The Spice Route,Paneer Butter Masala,220,51,Sunny
2024-03-07,Delhi,Hauz Khas,Punjab Grill,Aloo Tikki,80,60,Cool
2024-01-30,Delhi,Saket,The Spice Route,Rajma Chawal,140,128,Sunny
2024-04-09,Delhi,Vasant Kunj,Biryani Blues,Rajma Chawal,140,148,Cloudy
2024-03-17,Delhi,Saket,Biryani Blues,Amritsari Kulcha,160,28,Sunny
2024-02-28,Delhi,Vasant Kunj,Haldiram's,Dal Makhani,180,67,Humid
2024-04-08,Delhi,Janakpuri,The Spice Route,Aloo Tikki,80,141,Rainy
2024-05-20,Delhi,Connaught Place,Haldiram's,Paneer Butter Masala,220,130,Sunny
2024-03-22,Delhi,Dwarka,Punjab Grill,North Indian Thali,200,39,Sunny
2024-05-07,Delhi,Saket,Punjab Grill,Paneer Butter Masala,220,118,Cloudy
2024-02-19,Delhi,Hauz Khas,Delhi Darbar,Butter Naan,40,56,Cool
2024-02-29,Delhi,Janakpuri,The Spice Route,Chicken Biryani,250,82,Humid
2024-04-16,Delhi,Hauz Khas,Biryani Blues,Chole Bhature,120,67,Sunny
2024-05-30,Delhi,Chandni Chowk,Biryani Blues,Butter Naan,40,53,Sunny
2024-04-01,Delhi,Hauz Khas,Delhi Darbar,Rajma Chawal,140,97,Cool
2024-01-18,Delhi,Lajpat Nagar,Biryani Blues,Momos,100,89,Cool
2024-03-19,Delhi,Vasant Kunj,Zaika-e-Dilli,Butter Naan,40,21,Cloudy
2024-04-27,Delhi,Janakpuri,Local Zaika,Rajma Chawal,140,80,Cool
2024-03-30,Delhi,Rohini,Biryani Blues,North Indian Thali,200,145,Cloudy
2024-06-12,Delhi,Chandni Chowk,Haldiram's,Chicken Biryani,250,38,Cloudy
2024-05-22,Delhi,Lajpat Nagar,Flavors of Delhi,Momos,100,14,Humid
2024-01-06,Delhi,Vasant Kunj,Delhi Darbar,Rajma Chawal,140,126,Humid
2024-02-20,Delhi,Rohini,Zaika-e-Dilli,North Indian Thali,200,146,Humid
2024-06-17,Delhi,Janakpuri,Punjab Grill,Chole Bhature,120,93,Cloudy
2024-05-16,Delhi,Connaught Place,Haldiram's,Paneer Butter Masala,220,84,Humid
2024-05-30,Delhi,Chandni Chowk,Punjab Grill,Momos,100,20,Rainy
2024-04-26,Delhi,Hauz Khas,Punjab Grill,Aloo Tikki,80,128,Cloudy
2024-06-08,Delhi,Vasant Kunj,Zaika-e-Dilli,Paneer Butter Masala,220,41,Sunny
2024-05-26,Delhi,Vasant Kunj,Zaika-e-Dilli,Dal Makhani,180,111,Sunny
2024-02-05,Delhi,Lajpat Nagar,Zaika-e-Dilli,Momos,100,85,Cloudy
2024-03-09,Delhi,Saket,Local Zaika,Momos,100,105,Humid
2024-06-01,Delhi,Connaught Place,Local Zaika,Momos,100,40,Cloudy
2024-05-23,Delhi,Janakpuri,Delhi Darbar,Dal Makhani,180,39,Cool
2024-01-25,Delhi,Janakpuri,Punjab Grill,Aloo Tikki,80,25,Cloudy
2024-02-04,Delhi,Hauz Khas,Biryani Blues,Momos,100,32,Rainy
2024-06-18,Delhi,Chandni Chowk,The Spice Route,Paneer Butter Masala,220,88,Sunny
2024-03-09,Delhi,Lajpat Nagar,The Spice Route,Amritsari Kulcha,160,37,Rainy
2024-06-02,Delhi,Vasant Kunj,Delhi Darbar,Butter Naan,40,79,Cloudy
2024-04-22,Delhi,Rohini,Punjab Grill,North Indian Thali,200,137,Sunny
2024-03-29,Delhi,Vasant Kunj,Punjab Grill,North Indian Thali,200,23,Rainy
2024-01-22,Delhi,Saket,Zaika-e-Dilli,Chole Bhature,120,10,Cloudy
2024-06-26,Delhi,Karol Bagh,Flavors of Delhi,Chicken Biryani,250,108,Cloudy
2024-04-22,Delhi,Lajpat Nagar,Flavors of Delhi,Aloo Tikki,80,126,Humid
2024-04-02,Delhi,Chandni Chowk,Biryani Blues,Butter Naan,40,30,Rainy
2024-06-05,Delhi,Rohini,Punjab Grill,Dal Makhani,180,113,Rainy
2024-01-31,Delhi,Connaught Place,Zaika-e-Dilli,Chole Bhature,120,21,Sunny
2024-03-23,Delhi,Rohini,The Spice Route,Rajma Chawal,140,32,Sunny
2024-06-29,Delhi,Karol Bagh,Haldiram's,Dal Makhani,180,63,Humid
2024-04-27,Delhi,Karol Bagh,Flavors of Delhi,Butter Naan,40,102,Sunny
2024-04-02,Delhi,Dwarka,Local Zaika,Butter Naan,40,149,Cloudy
2024-06-02,Delhi,Hauz Khas,Zaika-e-Dilli,Amritsari Kulcha,160,20,Humid
2024-02-03,Delhi,Dwarka,Local Zaika,Rajma Chawal,140,148,Humid
2024-05-03,Delhi,Dwarka,Zaika-e-Dilli,Dal Makhani,180,52,Cool
2024-06-14,Delhi,Rohini,Haldiram's,Aloo Tikki,80,81,Cool
2024-01-13,Delhi,Chandni Chowk,Zaika-e-Dilli,North Indian Thali,200,102,Sunny
2024-01-21,Delhi,Janakpuri,Haldiram's,Aloo Tikki,80,98,Cool
2024-02-07,Delhi,Connaught Place,Flavors of Delhi,Dal Makhani,180,45,Rainy
2024-04-17,Delhi,Chandni Chowk,Punjab Grill,Rajma Chawal,140,56,Rainy
2024-04-09,Delhi,Vasant Kunj,Haldiram's,Amritsari Kulcha,160,144,Cool
2024-01-01,Delhi,Saket,Biryani Blues,Chicken Biryani,250,19,Rainy
2024-06-25,Delhi,Karol Bagh,Biryani Blues,Rajma Chawal,140,12,Cool
2024-01-19,Delhi,Chandni Chowk,Delhi Darbar,Dal Makhani,180,89,Sunny
2024-04-05,Delhi,Chandni Chowk,Biryani Blues,Paneer Butter Masala,220,106,Sunny
2024-06-20,Delhi,Rohini,Delhi Darbar,Butter Naan,40,103,Cool
2024-01-13,Delhi,Janakpuri,Zaika-e-Dilli,Aloo Tikki,80,123,Sunny
2024-03-25,Delhi,Saket,Zaika-e-Dilli,Chicken Biryani,250,149,Humid
2024-05-09,Delhi,Vasant Kunj,Zaika-e-Dilli,Paneer Butter Masala,220,76,Cool
2024-05-13,Delhi,Dwarka,The Spice Route,Momos,100,29,Cool
2024-02-12,Delhi,Chandni Chowk,Local Zaika,Rajma Chawal,140,26,Rainy
2024-05-08,Delhi,Janakpuri,Haldiram's,Paneer Butter Masala,220,25,Rainy
2024-04-20,Delhi,Rohini,The Spice Route,Momos,100,25,Humid
2024-01-09,Delhi,Lajpat Nagar,Delhi Darbar,Momos,100,81,Humid
2024-01-20,Delhi,Vasant Kunj,Zaika-e-Dilli,Rajma Chawal,140,129,Cool
2024-06-03,Delhi,Connaught Place,Biryani Blues,North Indian Thali,200,147,Sunny
2024-04-12,Delhi,Karol Bagh,Local Zaika,Aloo Tikki,80,128,Rainy
2024-03-25,Delhi,Janakpuri,The Spice Route,Paneer Butter Masala,220,136,Cool
2024-03-26,Delhi,Rohini,The Spice Route,Rajma Chawal,140,65,Cloudy
2024-02-04,Delhi,Dwarka,Delhi Darbar,Aloo Tikki,80,124,Sunny
2024-04-14,Delhi,Saket,Punjab Grill,North Indian Thali,200,144,Cloudy
2024-02-04,Delhi,Dwarka,Zaika-e-Dilli,North Indian Thali,200,147,Cool
2024-03-23,Delhi,Vasant Kunj,Biryani Blues,Aloo Tikki,80,33,Cloudy
2024-04-06,Delhi,Hauz Khas,Biryani Blues,Butter Naan,40,37,Sunny
2024-05-06,Delhi,Vasant Kunj,Punjab Grill,North Indian Thali,200,129,Humid
2024-02-29,Delhi,Vasant Kunj,Biryani Blues,Dal Makhani,180,48,Cool
2024-02-14,Delhi,Janakpuri,The Spice Route,Aloo Tikki,80,129,Sunny
2024-02-11,Delhi,Vasant Kunj,Punjab Grill,Paneer Butter Masala,220,94,Rainy
2024-03-26,Delhi,Lajpat Nagar,Biryani Blues,Butter Naan,40,17,Cloudy
2024-04-02,Delhi,Lajpat Nagar,The Spice Route,Dal Makhani,180,111,Humid
2024-01-14,Delhi,Karol Bagh,Punjab Grill,Aloo Tikki,80,145,Sunny
2024-02-08,Delhi,Saket,Biryani Blues,Aloo Tikki,80,83,Cloudy
2024-01-26,Delhi,Dwarka,Biryani Blues,Amritsari Kulcha,160,50,Humid
2024-04-21,Delhi,Connaught Place,Biryani Blues,Rajma Chawal,140,14,Cloudy
2024-05-11,Delhi,Saket,Local Zaika,Momos,100,61,Humid
2024-04-29,Delhi,Chandni Chowk,Delhi Darbar,Aloo Tikki,80,149,Sunny
2024-02-21,Delhi,Dwarka,The Spice Route,Chicken Biryani,250,101,Rainy
2024-04-05,Delhi,Lajpat Nagar,Biryani Blues,Chicken Biryani,250,117,Sunny
2024-03-05,Delhi,Karol Bagh,Local Zaika,Rajma Chawal,140,67,Rainy
2024-04-11,Delhi,Saket,Haldiram's,Amritsari Kulcha,160,38,Cloudy
2024-01-26,Delhi,Chandni Chowk,The Spice Route,Aloo Tikki,80,123,Cool
2024-06-14,Delhi,Connaught Place,Delhi Darbar,North Indian Thali,200,38,Cloudy
2024-03-07,Delhi,Hauz Khas,Punjab Grill,North Indian Thali,200,59,Cool
2024-04-08,Delhi,Dwarka,Flavors of Delhi,Momos,100,11,Cool
2024-03-27,Delhi,Rohini,Delhi Darbar,North Indian Thali,200,50,Cool
2024-02-15,Delhi,Janakpuri,Flavors of Delhi,Momos,100,24,Rainy
2024-06-02,Delhi,Rohini,Biryani Blues,North Indian Thali,200,69,Sunny
2024-06-11,Delhi,Vasant Kunj,Haldiram's,Momos,100,61,Cool
2024-05-11,Delhi,Hauz Khas,Flavors of Delhi,Aloo Tikki,80,47,Rainy
2024-04-15,Delhi,Janakpuri,Flavors of Delhi,Aloo Tikki,80,61,Cool
2024-03-31,Delhi,Janakpuri,Punjab Grill,Butter Naan,40,15,Cloudy
2024-03-31,Delhi,Lajpat Nagar,Haldiram's,Chole Bhature,120,84,Cool
2024-03-23,Delhi,Chandni Chowk,Flavors of Delhi,Paneer Butter Masala,220,141,Cloudy
2024-06-04,Delhi,Janakpuri,Zaika-e-Dilli,Aloo Tikki,80,112,Cloudy
2024-04-20,Delhi,Rohini,Punjab Grill,Momos,100,16,Rainy
2024-01-03,Delhi,Janakpuri,The Spice Route,Rajma Chawal,140,69,Sunny
2024-02-21,Delhi,Hauz Khas,The Spice Route,Paneer Butter Masala,220,25,Rainy
2024-02-03,Delhi,Saket,Haldiram's,North Indian Thali,200,18,Sunny
2024-05-21,Delhi,Rohini,Zaika-e-Dilli,Amritsari Kulcha,160,134,Cloudy
2024-04-01,Delhi,Rohini,Zaika-e-Dilli,Momos,100,20,Sunny
2024-02-18,Delhi,Dwarka,Punjab Grill,Chicken Biryani,250,39,Cloudy
2024-04-11,Delhi,Connaught Place,Biryani Blues,Amritsari Kulcha,160,101,Humid
2024-05-07,Delhi,Janakpuri,Delhi Darbar,Amritsari Kulcha,160,127,Humid
2024-06-22,Delhi,Vasant Kunj,The Spice Route,Amritsari Kulcha,160,103,Sunny
2024-03-20,Delhi,Rohini,Haldiram's,Aloo Tikki,80,78,Cool
2024-04-27,Delhi,Hauz Khas,Haldiram's,Rajma Chawal,140,67,Cool
2024-03-31,Delhi,Dwarka,Flavors of Delhi,Aloo Tikki,80,114,Cool
2024-04-12,Delhi,Saket,Zaika-e-Dilli,Paneer Butter Masala,220,107,Cloudy
2024-02-24,Delhi,Hauz Khas,Delhi Darbar,Paneer Butter Masala,220,51,Cool
2024-05-11,Delhi,Janakpuri,Punjab Grill,Rajma Chawal,140,34,Rainy
2024-04-13,Delhi,Connaught Place,Zaika-e-Dilli,Momos,100,17,Sunny
2024-01-26,Delhi,Dwarka,The Spice Route,Chole Bhature,120,143,Humid
2024-06-01,Delhi,Janakpuri,Punjab Grill,Chole Bhature,120,133,Humid
2024-02-22,Delhi,Janakpuri,Biryani Blues,North Indian Thali,200,73,Rainy
2024-05-28,Delhi,Hauz Khas,Haldiram's,Aloo Tikki,80,77,Rainy
2024-01-22,Delhi,Janakpuri,The Spice Route,Dal Makhani,180,53,Humid
2024-05-03,Delhi,Karol Bagh,Punjab Grill,Chicken Biryani,250,13,Cool
2024-05-29,Delhi,Hauz Khas,Haldiram's,Chicken Biryani,250,135,Cool
2024-02-13,Delhi,Dwarka,Flavors of Delhi,Chicken Biryani,250,86,Humid
2024-04-06,Delhi,Saket,Delhi Darbar,Chole Bhature,120,128,Humid
2024-04-07,Delhi,Chandni Chowk,Delhi Darbar,Dal Makhani,180,69,Rainy
2024-05-03,Delhi,Rohini,Punjab Grill,Dal Makhani,180,44,Rainy
2024-06-03,Delhi,Janakpuri,Punjab Grill,Aloo Tikki,80,123,Sunny
2024-02-19,Delhi,Rohini,Punjab Grill,Paneer Butter Masala,220,97,Cool
2024-05-19,Delhi,Hauz Khas,Biryani Blues,Dal Makhani,180,110,Cool
2024-05-05,Delhi,Vasant Kunj,Punjab Grill,Rajma Chawal,140,25,Cloudy
2024-06-09,Delhi,Chandni Chowk,Delhi Darbar,Amritsari Kulcha,160,81,Cloudy
2024-04-03,Delhi,Hauz Khas,Punjab Grill,Dal Makhani,180,29,Cloudy
2024-01-18,Delhi,Saket,Delhi Darbar,Butter Naan,40,126,Cool
2024-06-25,Delhi,Chandni Chowk,Flavors of Delhi,Chicken Biryani,250,31,Rainy
2024-04-12,Delhi,Connaught Place,Haldiram's,Paneer Butter Masala,220,10,Cool
2024-06-01,Delhi,Hauz Khas,Punjab Grill,Dal Makhani,180,12,Cool
2024-06-01,Delhi,Vasant Kunj,Punjab Grill,Chole Bhature,120,109,Cool
2024-04-05,Delhi,Chandni Chowk,Flavors of Delhi,Butter Naan,40,18,Rainy
2024-06-18,Delhi,Lajpat Nagar,Biryani Blues,Aloo Tikki,80,85,Cloudy
2024-05-17,Delhi,Chandni Chowk,Delhi Darbar,Amritsari Kulcha,160,149,Cool
2024-01-02,Delhi,Chandni Chowk,Zaika-e-Dilli,North Indian Thali,200,25,Cool
2024-03-29,Delhi,Saket,Local Zaika,Paneer Butter Masala,220,62,Cool
2024-03-09,Delhi,Saket,Zaika-e-Dilli,Rajma Chawal,140,147,Sunny
2024-01-01,Delhi,Saket,Local Zaika,Chole Bhature,120,22,Humid
2024-02-09,Delhi,Rohini,Local Zaika,North Indian Thali,200,76,Humid
2024-02-22,Delhi,Lajpat Nagar,The Spice Route,Aloo Tikki,80,33,Cloudy
2024-05-26,Delhi,Vasant Kunj,Flavors of Delhi,North Indian Thali,200,61,Humid
2024-03-11,Delhi,Karol Bagh,Punjab Grill,Momos,100,125,Cool
2024-02-10,Delhi,Janakpuri,The Spice Route,Paneer Butter Masala,220,135,Humid
2024-06-08,Delhi,Chandni Chowk,Haldiram's,North Indian Thali,200,88,Cloudy
2024-02-05,Delhi,Hauz Khas,Punjab Grill,Aloo Tikki,80,105,Cloudy
2024-03-07,Delhi,Lajpat Nagar,Delhi Darbar,Chicken Biryani,250,108,Rainy
2024-04-16,Delhi,Vasant Kunj,Local Zaika,Rajma Chawal,140,13,Cloudy
2024-05-24,Delhi,Dwarka,Local Zaika,Butter Naan,40,124,Cool
2024-06-24,Delhi,Connaught Place,Biryani Blues,Amritsari Kulcha,160,141,Sunny
2024-02-18,Delhi,Connaught Place,Delhi Darbar,Amritsari Kulcha,160,66,Humid
2024-06-28,Delhi,Vasant Kunj,Local Zaika,Amritsari Kulcha,160,14,Cool
2024-02-17,Delhi,Chandni Chowk,Biryani Blues,Aloo Tikki,80,19,Cloudy
2024-01-20,Delhi,Chandni Chowk,Local Zaika,North Indian Thali,200,141,Cool
2024-06-11,Delhi,Janakpuri,Flavors of Delhi,Momos,100,44,Humid
2024-01-03,Delhi,Dwarka,Delhi Darbar,Paneer Butter Masala,220,109,Rainy
2024-06-02,Delhi,Vasant Kunj,Delhi Darbar,Paneer Butter Masala,220,10,Cool
2024-02-18,Delhi,Rohini,Local Zaika,Dal Makhani,180,70,Cloudy
